NODES: 23
ARCS: 211

NODE
Idn                                      name                           x               y               Type           
137      F_14                                     H_15_origin_9                            27.15                NOT USED  
138      F_14                                     HUB_2                                    18.09                NOT USED  
139      F_14                                     H_20_dest_3                              12.91                NOT USED  
140      F_14                                     H_19_origin_5                            24.37                NOT USED  
142      F_14                                     H_4_dest_8                               15.40                NOT USED  
143      F_14                                     H_11_dest_2                              20.93                NOT USED  
144      F_14                                     HUB_1                                    21.24                NOT USED  
145      H_21_origin_1                            H_4_dest_5                               25.06                NOT USED  
146      H_21_origin_1                            H_21_dest_4                              0.00                 NOT USED  
148      H_21_origin_1                            H_3_origin_8                             26.70                NOT USED  
149      H_21_origin_1                            H_4_origin_4                             25.06                NOT USED  
150      H_21_origin_1                            H_12_origin_7                            10.75                NOT USED  
151      H_21_origin_1                            F_14                                     12.55                NOT USED  
152      H_21_origin_1                            H_11_dest_10                             28.52                NOT USED  
153      H_21_origin_1                            H_15_origin_9                            23.56                NOT USED  
154      H_21_origin_1                            HUB_2                                    11.25                NOT USED  
155      H_21_origin_1                            H_20_dest_3                              21.13                NOT USED  
156      H_21_origin_1                            H_4_dest_9                               25.06                NOT USED  
157      H_21_origin_1                            H_4_dest_8                               25.06                NOT USED  
158      H_21_origin_1                            H_11_dest_2                              28.52                NOT USED  
159      H_21_origin_1                            HUB_1                                    28.70                NOT USED  
160      H_15_origin_9                            H_21_dest_4                              23.56                NOT USED  
162      H_15_origin_9                            H_21_origin_1                            23.56                NOT USED  
163      H_15_origin_9                            HUB_2                                    12.45                NOT USED  
164      HUB_2                                    H_9_origin_6                             47.74                NOT USED  
165      HUB_2                                    H_21_dest_4                              11.25                NOT USED  
166      HUB_2                                    H_7_origin_10                            45.73                NOT USED  
167      HUB_2                                    H_3_origin_8                             33.43                NOT USED  
168      HUB_2                                    H_4_origin_4                             33.21                NOT USED  
169      HUB_2                                    H_9_origin_2                             47.74                NOT USED  
170      HUB_2                                    H_12_origin_7                            21.95                NOT USED  
171      HUB_2                                    H_9_origin_3                             47.74                NOT USED  
172      HUB_2                                    F_14                                     18.09                NOT USED  
173      HUB_2                                    H_21_origin_1                            11.25                NOT USED  
175      HUB_2                                    H_20_dest_3                              29.98                NOT USED  
176      HUB_2                                    H_19_origin_5                            38.33                NOT USED  
178      H_19_origin_5                            H_4_dest_1                               23.07                NOT USED  
179      H_19_origin_5                            H_7_origin_10                            28.04                NOT USED  
180      H_19_origin_5                            H_3_origin_8                             18.06                NOT USED  
181      H_19_origin_5                            H_4_origin_4                             23.07                NOT USED  
182      H_19_origin_5                            F_14                                     24.37                NOT USED  
183      H_19_origin_5                            H_10_dest_7                              21.96                NOT USED  
184      H_19_origin_5                            H_2_dest_6                               6.39                 NOT USED  
185      H_19_origin_5                            H_11_dest_10                             28.98                NOT USED  
186      H_19_origin_5                            H_20_dest_3                              25.83                NOT USED  
187      H_19_origin_5                            H_4_dest_9                               23.07                NOT USED  
188      H_19_origin_5                            H_4_dest_8                               23.07                NOT USED  
189      H_19_origin_5                            H_11_dest_2                              28.98                NOT USED  
190      H_19_origin_5                            HUB_1                                    29.40                NOT USED  
191      HUB_1                                    H_4_dest_5                               7.21                 NOT USED  
192      HUB_1                                    H_9_origin_6                             9.60                 NOT USED  
193      HUB_1                                    H_21_dest_4                              28.70                NOT USED  
194      HUB_1                                    H_4_dest_1                               7.21                 NOT USED  
195      HUB_1                                    H_7_origin_10                            9.36                 NOT USED  
197      HUB_1                                    H_4_origin_4                             7.21                 NOT USED  
199      HUB_1                                    H_12_origin_7                            20.14                NOT USED  
201      HUB_1                                    F_14                                     21.24                NOT USED  
202      HUB_1                                    H_21_origin_1                            28.70                NOT USED  
203      HUB_1                                    H_10_dest_7                              8.23                 NOT USED  
204      HUB_1                                    H_2_dest_6                               23.41                NOT USED  
205      HUB_1                                    H_11_dest_10                             0.43                 NOT USED  
206      HUB_1                                    H_15_origin_9                            48.32                NOT USED  
207      HUB_1                                    H_20_dest_3                              8.35                 NOT USED  
209      HUB_1                                    H_4_dest_9                               7.21                 NOT USED  
210      HUB_1                                    H_4_dest_8                               7.21                 NOT USED  
