NODES: 140
ARCS: 2433

NODE
Idn                                      x               y               Type           
222      F_18                                     F_17                                     29.11                USED      
231      F_20                                     F_12                                     50.49                USED      
234      F_20                                     H_Cremona_1_dest_37                      23.45                USED      
235      F_20                                     F_26                                     50.42                USED      
274      H_Pavia_1_origin_58                      F_17                                     30.74                USED      
278      H_Pavia_9_origin_32                      F_24                                     51.39                USED      
321      H_Parma_2_origin_48                      F_19                                     45.01                USED      
359      H_Milano_2_origin_52                     F_23                                     37.28                USED      
382      H_Parma_3_origin_33                      F_12                                     47.65                USED      
397      H_Bergamo_2_origin_56                    F_31                                     41.54                USED      
431      H_Pavia_8_origin_54                      F_16                                     30.62                USED      
468      H_Parma_3_origin_22                      F_13                                     28.59                USED      
487      H_Milano_2_origin_45                     F_22                                     36.27                USED      
514      H_Pavia_10_origin_42                     F_23                                     28.04                USED      
554      H_Pavia_9_origin_49                      F_16                                     29.26                USED      
574      F_19                                     H_Parma_2_dest_21                        45.01                USED      
582      F_19                                     H_Parma_2_dest_30                        45.01                USED      
597      F_19                                     F_26                                     41.22                USED      
608      F_12                                     F_18                                     50.49                USED      
615      F_12                                     F_19                                     41.22                USED      
624      F_12                                     H_Parma_3_dest_4                         47.65                USED      
625      F_12                                     H_Parma_3_dest_52                        47.65                USED      
628      F_12                                     H_Parma_3_dest_8                         47.65                USED      
633      F_12                                     H_Parma_3_dest_12                        47.65                USED      
634      F_12                                     H_Piacenza_1_origin_16                   33.32                USED      
640      H_Milano_3_origin_15                     F_31                                     48.65                USED      
676      H_Parma_1_origin_29                      F_12                                     38.36                USED      
707      H_Piacenza_2_origin_60                   F_17                                     48.55                USED      
726      H_Pavia_8_origin_26                      F_16                                     30.62                USED      
747      H_Bergamo_2_origin_36                    F_31                                     41.54                USED      
770      F_33                                     H_Bergamo_4_dest_48                      26.20                USED      
772      F_33                                     H_Bergamo_4_dest_59                      26.20                USED      
779      F_33                                     F_26                                     41.22                USED      
792      H_Bergamo_4_origin_21                    F_33                                     26.20                USED      
808      H_Milano_3_origin_50                     H_Milano_1_dest_50                       6.10                 USED      
841      H_Piacenza_2_origin_4                    F_12                                     23.05                USED      
865      H_Bergamo_3_origin_39                    F_39                                     15.80                USED      
883      H_Pavia_1_origin_19                      F_23                                     49.10                USED      
907      H_Pavia_5_origin_23                      F_24                                     49.03                USED      
946      F_11                                     H_Piacenza_1_dest_47                     28.38                USED      
951      F_11                                     H_Parma_2_dest_51                        47.18                USED      
959      F_11                                     F_17                                     50.49                USED      
961      H_Pavia_5_origin_34                      H_Pavia_9_dest_34                        33.42                USED      
1000     F_23                                     F_31                                     50.36                USED      
1002     F_23                                     F_24                                     29.00                USED      
1007     F_23                                     H_Pavia_8_origin_54                      26.99                USED      
1010     F_23                                     H_Pavia_10_origin_42                     28.04                USED      
1016     F_23                                     H_Pavia_10_dest_28                       28.04                USED      
1020     F_23                                     H_Milano_2_dest_17                       37.28                USED      
1021     F_23                                     H_Milano_3_dest_60                       39.77                USED      
1028     F_23                                     H_Pavia_1_dest_36                        49.10                USED      
1033     F_23                                     H_Pavia_10_origin_53                     28.04                USED      
1038     F_23                                     H_Pavia_8_origin_35                      26.99                USED      
1041     F_23                                     H_Pavia_8_origin_57                      26.99                USED      
1043     F_23                                     H_Pavia_9_origin_12                      26.60                USED      
1050     F_23                                     H_Milano_1_dest_11                       43.28                USED      
1051     F_23                                     H_Pavia_5_origin_38                      42.81                USED      
1059     F_23                                     H_Milano_3_dest_43                       39.77                USED      
1063     F_23                                     H_Milano_2_dest_33                       37.28                USED      
1079     H_Milano_3_origin_27                     H_Milano_2_dest_27                       3.73                 USED      
1100     F_32                                     F_24                                     50.36                USED      
1101     F_32                                     H_Bergamo_2_dest_22                      37.11                USED      
1112     F_32                                     H_Bergamo_4_dest_18                      31.81                USED      
