NODES: 160
ARCS: 2996

NODE
Idn                                      x               y               Type           
71       F_31                                     H_Bergamo_2_origin_57                    41.54                USED      
77       F_31                                     H_Bergamo_1_dest_20                      41.41                USED      
84       F_31                                     F_38                                     41.22                USED      
85       F_31                                     H_Milano_2_dest_33                       45.23                USED      
100      H_Bergamo_1_origin_30                    H_Bergamo_3_dest_30                      20.08                USED      
148      H_Parma_3_origin_67                      F_13                                     28.59                USED      
150      H_Bergamo_2_origin_26                    F_31                                     41.54                USED      
186      F_24                                     H_Cremona_2_dest_34                      46.96                USED      
201      F_24                                     H_Cremona_2_dest_65                      46.96                USED      
214      F_24                                     F_17                                     41.22                USED      
215      F_24                                     H_Pavia_5_dest_69                        49.03                USED      
218      F_24                                     H_Pavia_5_dest_57                        49.03                USED      
223      F_20                                     F_12                                     50.49                USED      
225      F_20                                     H_Cremona_1_dest_67                      23.45                USED      
231      F_20                                     F_26                                     50.42                USED      
236      F_20                                     F_13                                     41.22                USED      
264      H_Pavia_9_origin_64                      H_Pavia_5_dest_64                        33.42                USED      
282      H_Milano_3_origin_40                     F_31                                     48.65                USED      
325      H_Pavia_9_origin_32                      F_16                                     29.26                USED      
379      H_Bergamo_3_origin_44                    H_Bergamo_1_dest_44                      20.08                USED      
397      H_Milano_2_origin_29                     F_23                                     37.28                USED      
426      H_Milano_1_origin_63                     F_22                                     41.99                USED      
441      H_Milano_1_origin_53                     H_Milano_3_dest_53                       6.10                 USED      
474      H_Milano_3_origin_42                     H_Milano_2_dest_42                       3.73                 USED      
501      H_Milano_2_origin_3                      F_23                                     37.28                USED      
548      H_Bergamo_3_origin_69                    F_38                                     24.44                USED      
582      H_Bergamo_3_origin_62                    F_38                                     24.44                USED      
586      H_Parma_3_origin_31                      H_Parma_2_dest_31                        34.21                USED      
631      H_Bergamo_2_origin_12                    H_Bergamo_4_dest_12                      30.63                USED      
681      H_Pavia_5_origin_39                      F_17                                     24.44                USED      
727      H_Pavia_9_origin_49                      H_Pavia_1_dest_49                        35.34                USED      
749      H_Pavia_10_origin_9                      H_Pavia_9_dest_9                         1.55                 USED      
796      H_Bergamo_3_origin_45                    F_39                                     15.80                USED      
808      H_Bergamo_2_origin_61                    F_31                                     41.54                USED      
850      H_Pavia_1_origin_54                      H_Pavia_9_dest_54                        35.34                USED      
891      F_19                                     F_12                                     41.22                USED      
904      F_19                                     H_Piacenza_2_origin_22                   35.98                USED      
906      F_19                                     F_26                                     41.22                USED      
912      F_19                                     H_Piacenza_2_dest_7                      35.98                USED      
933      H_Parma_3_origin_35                      H_Parma_1_dest_35                        17.57                USED      
943      F_12                                     H_Parma_1_dest_45                        38.36                USED      
945      F_12                                     H_Parma_1_dest_46                        38.36                USED      
