NODES: 25
ARCS: 319

NODE
Idn                                      name                           x               y               Type           
134      HUB_3                                    H_16_dest_2                              28.38                NOT USED  
135      HUB_3                                    H_6_origin_1                             18.67                NOT USED  
136      HUB_3                                    H_10_dest_1                              5.57                 NOT USED  
137      HUB_3                                    H_9_dest_5                               18.11                NOT USED  
138      HUB_3                                    H_13_origin_7                            27.76                NOT USED  
139      HUB_3                                    H_9_dest_4                               18.11                NOT USED  
140      HUB_3                                    H_16_origin_6                            28.38                NOT USED  
141      HUB_3                                    H_6_origin_9                             18.67                NOT USED  
142      HUB_3                                    HUB_1                                    20.89                NOT USED  
143      HUB_3                                    H_8_dest_10                              27.16                NOT USED  
144      HUB_3                                    H_17_origin_2                            11.31                NOT USED  
145      HUB_3                                    F_18                                     20.79                NOT USED  
146      HUB_3                                    H_15_origin_4                            35.06                NOT USED  
147      HUB_3                                    H_1_dest_7                               25.70                NOT USED  
148      HUB_3                                    F_26                                     9.15                 NOT USED  
149      HUB_3                                    H_3_origin_5                             12.51                NOT USED  
150      HUB_3                                    H_8_dest_6                               27.16                NOT USED  
151      HUB_3                                    H_22_dest_8                              20.60                NOT USED  
152      HUB_3                                    H_2_origin_10                            28.42                NOT USED  
153      HUB_3                                    F_33                                     17.27                NOT USED  
154      HUB_1                                    H_10_origin_3                            16.61                NOT USED  
155      HUB_1                                    H_7_dest_3                               7.03                 NOT USED  
156      HUB_1                                    H_3_dest_9                               8.39                 NOT USED  
157      HUB_1                                    H_6_origin_8                             8.71                 NOT USED  
158      HUB_1                                    H_16_dest_2                              21.37                NOT USED  
159      HUB_1                                    H_6_origin_1                             8.71                 NOT USED  
160      HUB_1                                    H_10_dest_1                              16.61                NOT USED  
161      HUB_1                                    H_9_dest_5                               4.27                 NOT USED  
162      HUB_1                                    H_13_origin_7                            28.39                NOT USED  
163      HUB_1                                    H_9_dest_4                               4.27                 NOT USED  
166      HUB_1                                    HUB_3                                    20.89                NOT USED  
167      HUB_1                                    H_8_dest_10                              13.38                NOT USED  
168      HUB_1                                    H_17_origin_2                            30.56                NOT USED  
169      HUB_1                                    F_18                                     1.76                 NOT USED  
170      HUB_1                                    H_15_origin_4                            17.84                NOT USED  
171      HUB_1                                    H_1_dest_7                               9.63                 NOT USED  
172      HUB_1                                    F_26                                     16.69                NOT USED  
173      HUB_1                                    H_3_origin_5                             8.39                 NOT USED  
174      HUB_1                                    H_8_dest_6                               13.38                NOT USED  
175      HUB_1                                    H_22_dest_8                              30.00                NOT USED  
176      HUB_1                                    H_2_origin_10                            21.45                NOT USED  
177      HUB_1                                    F_33                                     26.33                NOT USED  
