NODES: 45
ARCS: 794

NODE
Idn                                      name                           x               y               Type           
101      F_17                                     H_4_dest_18                              13.96                NOT USED  
102      F_17                                     H_11_origin_7                            28.53                NOT USED  
103      F_17                                     H_7_dest_15                              4.33                 NOT USED  
104      F_17                                     H_12_dest_8                              21.12                NOT USED  
105      F_17                                     H_8_origin_10                            6.61                 NOT USED  
106      F_17                                     H_12_dest_12                             21.12                NOT USED  
108      F_17                                     H_12_dest_6                              21.12                NOT USED  
109      F_17                                     H_3_origin_3                             9.07                 NOT USED  
110      F_17                                     HUB_1                                    12.87                NOT USED  
111      F_17                                     H_19_dest_5                              23.98                NOT USED  
112      F_17                                     H_16_origin_13                           24.54                NOT USED  
113      F_17                                     H_4_dest_7                               13.96                NOT USED  
114      F_17                                     H_12_dest_2                              21.12                NOT USED  
115      F_17                                     H_6_origin_15                            25.07                NOT USED  
116      F_17                                     H_2_origin_17                            23.71                NOT USED  
117      F_17                                     H_13_origin_12                           11.64                NOT USED  
118      F_17                                     H_12_dest_10                             21.12                NOT USED  
119      F_17                                     H_8_origin_19                            6.61                 NOT USED  
121      F_17                                     H_11_origin_20                           28.53                NOT USED  
122      F_17                                     H_6_origin_14                            25.07                NOT USED  
123      F_17                                     HUB_2                                    27.52                NOT USED  
124      F_17                                     H_7_origin_8                             4.33                 NOT USED  
125      H_13_origin_2                            H_3_dest_11                              20.69                NOT USED  
126      H_13_origin_2                            H_8_dest_3                               13.10                NOT USED  
127      H_13_origin_2                            F_17                                     11.64                NOT USED  
128      H_13_origin_2                            F_18                                     15.65                NOT USED  
129      H_13_origin_2                            H_8_dest_14                              13.10                NOT USED  
130      H_13_origin_2                            H_4_origin_11                            25.45                NOT USED  
131      H_13_origin_2                            H_7_origin_18                            12.74                NOT USED  
132      H_13_origin_2                            H_12_dest_4                              28.22                NOT USED  
133      H_13_origin_2                            H_4_dest_18                              25.45                NOT USED  
134      H_13_origin_2                            H_7_dest_15                              12.74                NOT USED  
135      H_13_origin_2                            H_12_dest_8                              28.22                NOT USED  
136      H_13_origin_2                            H_8_origin_10                            13.10                NOT USED  
